item_slug,lang,title,description
inkless_pads,nl,Inktloze afdrukset voor handjes en voetjes,Set om hand- en voetafdrukken van Cleo schoon vast te leggen zonder klassieke inkt.
inkless_pads,ca,Kit d’empremtes sense tinta per a mans i peus,"Set per captar les empremtes de les mans i dels peus de la Cleo de manera neta, sense tinta clàssica."
inkless_pads,en,Inkless hand and footprint kit,"Set to capture Cleo's handprints and footprints cleanly, without traditional ink."
inkless_pads,es,Kit de huellas sin tinta para manos y pies,"Set para captar las huellas de manos y pies de Cleo de forma limpia, sin tinta clásica."
activity_spiral,nl,Activiteitenspiraal voor pasgeborenen,"Zachte activiteitenspiraal voor onderweg, met speelelementen die grijpen en ontdekken stimuleren."
activity_spiral,ca,Espiral d’activitats per a nounats,"Espiral d’activitats suau per portar, amb elements de joc que estimulen l’agafada i el descobriment."
activity_spiral,en,Activity spiral for newborns,"Soft activity spiral for on the go, with play elements that encourage grasping and discovery."
activity_spiral,es,Espiral de actividades para recién nacidos,"Espiral de actividades suave para llevar, con elementos de juego que estimulan el agarre y el descubrimiento."
first_bites_set,nl,Startersset voor eerste hapjes,"Complete startersset voor de eerste hapjes, met meerdere eetaccessoires in één pakket."
first_bites_set,ca,Set inicial per a les primeres menjades,"Set inicial complet per a les primeres menjades, amb diversos accessoris d’alimentació en un sol paquet."
first_bites_set,en,Starter set for first bites,"Complete starter set for first bites, with multiple feeding accessories in one package."
first_bites_set,es,Set inicial para las primeras comidas,"Set inicial completo para las primeras comidas, con varios accesorios de alimentación en un solo paquete."
silicon_table_set,nl,Siliconen tafelset,Siliconen onderlegger die morsen helpt opvangen en de tafel beter beschermt tijdens het eten. Voor Vic of Cleo.
silicon_table_set,ca,Set de taula de silicona,Estovalles individuals de silicona que ajuden a recollir vessaments i protegeixen millor la taula durant els àpats. Per a en Vic o la Cleo.
silicon_table_set,en,Silicone table set,Silicone placemat that helps catch spills and protects the table better during meals. For Vic or Cleo.
silicon_table_set,es,Set de mesa de silicona,Mantel individual de silicona que ayuda a recoger derrames y protege mejor la mesa durante las comidas. Para Vic o Cleo.
beachtoys,nl,Siliconen strandspeelset,Siliconen strandspeelset met emmer en vormpjes voor water en zand.
beachtoys,ca,Set de joguines de platja de silicona,Set de joguines de platja de silicona amb galleda i motlles per a l’aigua i la sorra.
beachtoys,en,Silicone beach toy set,Silicone beach toy set with bucket and molds for water and sand.
beachtoys,es,Set de juguetes de playa de silicona,Set de juguetes de playa de silicona con cubo y moldes para agua y arena.
activityboard,nl,Houten activiteitenbord,Houten ontdekspeelgoed met verschillende elementen om voelen en fijne motoriek te oefenen.
activityboard,ca,Tauler d’activitats de fusta,Joguina de descoberta de fusta amb diferents elements per explorar el tacte i practicar la motricitat fina.
activityboard,en,Wooden activity board,Wooden discovery toy with different elements to explore touch and practice fine motor skills.
activityboard,es,Tablero de actividades de madera,Juguete de descubrimiento de madera con distintos elementos para explorar el tacto y practicar la motricidad fina.
sun_hat,nl,Babyzonnehoedje,Licht babyzonnehoedje met extra bescherming achteraan en striklintjes voor een betere pasvorm.
sun_hat,ca,Barret de sol per a nadó,Barret de sol lleuger per a nadó amb protecció extra a la part del darrere i cintes per a un millor ajust.
sun_hat,en,Baby sun hat,Light baby sun hat with extra protection at the back and tie straps for a better fit.
sun_hat,es,Sombrero de sol para bebé,Sombrero de sol ligero para bebé con protección extra en la parte trasera y cintas para un mejor ajuste.
teething_ring_figures,nl,Bijtring met figuurtjes,Bijtspeeltje dat bedoeld is om gevoelig tandvlees te helpen verzachten tijdens het doorkomen van tandjes.
teething_ring_figures,ca,Mossegador amb figuretes,Mossegador pensat per ajudar a alleujar les genives sensibles durant la sortida de les dents.
teething_ring_figures,en,Teething ring with figures,Teething toy designed to help soothe sensitive gums while teeth are coming through.
teething_ring_figures,es,Mordedor con figuritas,Mordedor pensado para ayudar a aliviar las encías sensibles durante la salida de los dientes.
tower_8,nl,Stapelbekers,8 stapelbekers als educatief speelgoed.
tower_8,ca,Gots apilables,Set de 8 gots apilables com a joguina educativa.
tower_8,en,Stacking cups,Set of 8 stacking cups as educational toy.
tower_8,es,Vasos apilables,Set de 8 vasos apilables como juguete educativo.
snack_cup,nl,Siliconen snackbeker,"Snackbeker voor kleine tussendoortjes, ontworpen om morsen onderweg te beperken."
snack_cup,ca,Got de snacks de silicona,"Got per a petits refrigeris, dissenyat per reduir els vessaments fora de casa."
snack_cup,en,Silicone snack cup,"Snack cup for small treats, designed to reduce spills on the go."
snack_cup,es,Vaso de snacks de silicona,"Vaso para pequeños tentempiés, diseñado para reducir los derrames fuera de casa."
toy_paintpalette,nl,Drukspeeltje in verfpalet-vorm,"Drukspeeltje in verfpalet-vorm dat uitnodigt tot voelen, drukken en fijn motorisch spel."
toy_paintpalette,ca,Joguina sensorial en forma de paleta de pintura,"Joguina sensorial en forma de paleta de pintura que convida a tocar, prémer i practicar la motricitat fina."
toy_paintpalette,en,Paint palette-shaped pop toy,"Paint palette-shaped pop toy that encourages touching, pressing and fine motor play."
toy_paintpalette,es,Juguete sensorial con forma de paleta de pintura,"Juguete sensorial con forma de paleta de pintura que invita a tocar, presionar y practicar la motricidad fina."
bib_silicon,nl,Siliconen slabbetjes,Slabbetje dat kleren beter beschermt tijdens eten of creatieve activiteiten.
bib_silicon,ca,Pitets de silicona,Pitet que protegeix millor la roba durant els àpats o les activitats creatives.
bib_silicon,en,Silicone bibs,Bib that protects clothes better during meals or creative activities.
bib_silicon,es,Baberos de silicona,Babero que protege mejor la ropa durante las comidas o las actividades creativas.
bib_jungle,nl,Slabbetje met mouwen Jungle,Slabbetje dat kleren beter beschermt tijdens eten of creatieve activiteiten.
bib_jungle,ca,Pitet amb mànigues Jungle,Pitet que protegeix millor la roba durant els àpats o les activitats creatives.
bib_jungle,en,Sleeved bib Jungle,Bib that protects clothes better during meals or creative activities.
bib_jungle,es,Babero con mangas Jungle,Babero que protege mejor la ropa durante las comidas o las actividades creativas.
activity_carpet,nl,Opvouwbare speelmat,Opvouwbare speelmat die een zachte en makkelijk op te bergen speelplek creëert.
activity_carpet,ca,Estora de joc plegable,Estora de joc plegable que crea una zona de joc suau i fàcil de guardar.
activity_carpet,en,Foldable play mat,Foldable play mat that creates a soft play area and is easy to store away.
activity_carpet,es,Alfombra de juego plegable,Alfombra de juego plegable que crea una zona de juego suave y fácil de guardar.
popup_tent,nl,Pop-uptent,"Lichte pop-uptent voor buiten, bedoeld als snelle beschutting tegen zon, wind of zand."
popup_tent,ca,Tenda pop-up,"Tenda pop-up lleugera per a exteriors, pensada com a refugi ràpid del sol, del vent o de la sorra."
popup_tent,en,Pop-up tent,"Light pop-up tent for outdoors, intended as quick shelter from sun, wind or sand."
popup_tent,es,Tienda pop-up,"Tienda pop-up ligera para exteriores, pensada como refugio rápido del sol, el viento o la arena."
food_thermos,nl,Voedselthermos 300 ml,Compacte voedselthermos om bereide babyhapjes tijdelijk warm of koel te houden.
food_thermos,ca,Term per a menjar 300 ml,Term compacte per mantenir els àpats del nadó temporalment calents o freds.
food_thermos,en,Food thermos 300 ml,Compact food thermos to keep prepared baby meals warm or cool for a while.
food_thermos,es,Termo para comida 300 ml,Termo compacto para mantener las comidas del bebé temporalmente calientes o frías.
folding_bathtub,nl,Opvouwbaar babybadje,Opvouwbaar babybadje dat minder plaats inneemt wanneer je het niet gebruikt.
folding_bathtub,ca,Banyera plegable per a nadó,Banyera plegable per a nadó que ocupa menys espai quan no es fa servir.
folding_bathtub,en,Foldable baby bathtub,Foldable baby bathtub that takes up less space when not in use.
folding_bathtub,es,Bañera plegable para bebé,Bañera plegable para bebé que ocupa menos espacio cuando no se usa.
secu_fence,nl,Houten speelhek,Grote afscherming of speelruimte die flexibel opgesteld kan worden in huis.
secu_fence,ca,Tanca de joc de fusta,Gran barrera o zona de joc que es pot col·locar de manera flexible a casa.
secu_fence,en,Wooden playpen fence,Large barrier or play area that can be set up flexibly around the house.
secu_fence,es,Valla de juego de madera,Gran barrera o zona de juego que puede colocarse de forma flexible en casa.
little-farm,nl,Houten trekdier kip,Houten trekfiguur die kinderen aanmoedigt om te bewegen en te stappen.
little-farm,ca,Gallina d’arrossegar de fusta,Joguina d’arrossegar de fusta que anima els infants a moure’s i fer passes.
little-farm,en,Wooden pull-along chicken,Wooden pull toy that encourages children to move and take steps.
little-farm,es,Gallina de arrastre de madera,Juguete de arrastre de madera que anima a los niños a moverse y dar pasos.
sleeved_pocket_bib,nl,Slabbetje met mouwen en opvangzak,Slabbetje dat kleren beter beschermt tijdens eten of creatieve activiteiten.
sleeved_pocket_bib,ca,Pitet amb mànigues i butxaca recollidora,Pitet que protegeix millor la roba durant els àpats o les activitats creatives.
sleeved_pocket_bib,en,Sleeved bib with catch pocket,Bib that protects clothes better during meals or creative activities.
sleeved_pocket_bib,es,Babero con mangas y bolsillo recogemigas,Babero que protege mejor la ropa durante las comidas o las actividades creativas.
rainbow_stack,nl,Regenboogstapelaar,Stapel- of nestelspeelgoed dat spelenderwijs motoriek en hand-oogcoördinatie ondersteunt.
rainbow_stack,ca,Apilador arc de Sant Martí,Joguina per apilar o encaixar que afavoreix de manera lúdica la motricitat i la coordinació ull-mà.
rainbow_stack,en,Rainbow stacker,Stacking or nesting toy that playfully supports motor skills and hand-eye coordination.
rainbow_stack,es,Apilador arcoíris,Juguete para apilar o encajar que favorece de forma lúdica la motricidad y la coordinación ojo-mano.
activitybook_newborn,nl,Activiteitenboekje pasgeborenen,Zacht activiteitenboekje voor baby's.
activitybook_newborn,ca,Llibre d’activitats per a nounats,Llibre d’activitats suau per a nadons.
activitybook_newborn,en,Activity book for newborns,Soft activity book for babies.
activitybook_newborn,es,Libro de actividades para recién nacidos,Libro de actividades suave para bebés.
bed_walnut,nl,Houten bed 60x120cm,Walnootkleurig bed van massief beukenhout met 3 verstelbare hoogtes.
bed_walnut,ca,Llit de fusta 60x120 cm,Llit color noguera de fusta massissa de faig amb 3 alçades regulables.
bed_walnut,en,Wooden bed 60x120 cm,Walnut-colored bed made of solid beech wood with 3 adjustable heights.
bed_walnut,es,Cama de madera 60x120 cm,Cama de color nogal de madera maciza de haya con 3 alturas ajustables.
philips_avent,nl,Glazen babyfles startersset,Startersset met glazen babyflessen voor pasgeborenen.
philips_avent,ca,Set inicial de biberons de vidre,Set inicial amb biberons de vidre per a nounats.
philips_avent,en,Glass baby bottle starter set,Starter set with glass baby bottles for newborns.
philips_avent,es,Set inicial de biberones de vidrio,Set inicial con biberones de vidrio para recién nacidos.
matrascover_green,nl,"Hoeslakens 60 x 120 cm, set van 2","Set hoeslakens voor een babymatras, met elastische pasvorm."
matrascover_green,ca,"Llençols ajustables 60 x 120 cm, set de 2","Set de llençols ajustables per a un matalàs de nadó, amb ajust elàstic."
matrascover_green,en,"Fitted sheets 60 x 120 cm, set of 2","Set of fitted sheets for a baby mattress, with elastic fit."
matrascover_green,es,"Sábanas ajustables 60 x 120 cm, set de 2","Set de sábanas ajustables para colchón de bebé, con ajuste elástico."
sleeping_bag,nl,Babyslaapzak met afritsbare mouwen,Babyslaapzak met afritsbare mouwen om de warmte beter aan te passen.
sleeping_bag,ca,Saco de dormir per a nadó amb mànigues desmuntables,Saco de dormir per a nadó amb mànigues desmuntables per ajustar millor l’escalfor.
sleeping_bag,en,Baby sleeping bag with removable sleeves,Baby sleeping bag with removable sleeves to adjust warmth more easily.
sleeping_bag,es,Saco de dormir para bebé con mangas desmontables,Saco de dormir para bebé con mangas desmontables para ajustar mejor el calor.
sunglasses,nl,Babyzonnebril,Kinderzonnebril op babymaat voor extra oogbescherming buiten. Verhoogt het coolheidsgehalte ook.
sunglasses,ca,Ulleres de sol per a nadó,Ulleres de sol en mida nadó per a una protecció extra dels ulls a l’aire lliure. També pugen el nivell de cool.
sunglasses,en,Baby sunglasses,Baby-sized sunglasses for extra eye protection outdoors. Also increases the coolness factor.
sunglasses,es,Gafas de sol para bebé,Gafas de sol en tamaño bebé para una protección extra de los ojos al aire libre. Además aumentan el factor molón.
swimmingpool,nl,Opblaasbaar kinderzwembad,Klein opblaasbaar zwembadje voor verkoeling op warme dagen in Spanje.
swimmingpool,ca,Piscina infantil inflable,Petita piscina inflable per refrescar-se els dies calorosos a Espanya.
swimmingpool,en,Inflatable kids pool,Small inflatable pool for cooling off on warm days in Spain.
swimmingpool,es,Piscina infantil hinchable,Pequeña piscina hinchable para refrescarse en los días calurosos en España.
sophie_giraffe,nl,Sophie de Giraf cadeauset,Cadeauset met Sophie de giraf en activiteitenspeelgoed vanaf geboorte.
sophie_giraffe,ca,Set regal Sophie la Girafe,Set regal amb Sophie la Girafe i joguines d’activitats des del naixement.
sophie_giraffe,en,Sophie the Giraffe gift set,Gift set with Sophie the Giraffe and activity toys from birth.
sophie_giraffe,es,Set regalo Sophie la Girafe,Set regalo con Sophie la Girafe y juguetes de actividades desde el nacimiento.
baby_flashcard,nl,Contrasterende babykaarten,Contrasterende kaarten voor vroege visuele prikkeling en eenvoudige spelmomenten.
baby_flashcard,ca,Targetes de contrast per a nadó,Targetes de contrast per a una estimulació visual primerenca i moments de joc senzills.
baby_flashcard,en,High-contrast baby cards,High-contrast cards for early visual stimulation and simple play moments.
baby_flashcard,es,Tarjetas de contraste para bebé,Tarjetas de contraste para una estimulación visual temprana y momentos de juego sencillos.
maxicosi_bed,nl,Maxi-Cosi Swift 3-in-1 reisbed,Licht en vlot opplooibaar reisbedje voor logeerpartijen of verplaatsingen.
maxicosi_bed,ca,Bressol de viatge Maxi-Cosi Swift 3 en 1,Bressol de viatge lleuger i fàcil de plegar per a nits fora de casa o desplaçaments.
maxicosi_bed,en,Maxi-Cosi Swift 3-in-1 travel cot,Light and easy-to-fold travel cot for sleepovers or trips.
maxicosi_bed,es,Cuna de viaje Maxi-Cosi Swift 3 en 1,Cuna de viaje ligera y fácil de plegar para noches fuera de casa o desplazamientos.
babybjorn_hammock,nl,BabyBjörn Balance Soft vervanghoes,"Hypoallergene, zachte vervanghoes voor BabyBjörn Balance Soft."
babybjorn_hammock,ca,Funda de recanvi BabyBjörn Balance Soft,Funda de recanvi suau i hipoal·lergògena per a BabyBjörn Balance Soft.
babybjorn_hammock,en,BabyBjörn Balance Soft replacement cover,"Hypoallergenic, soft replacement cover for BabyBjörn Balance Soft."
babybjorn_hammock,es,Funda de recambio BabyBjörn Balance Soft,Funda de recambio suave e hipoalergénica para BabyBjörn Balance Soft.
bibs_silicon,nl,Siliconen slabbetjes,Siliconen slabbetje dat kleren beter beschermt tijdens eten of creatieve activiteiten.
bibs_silicon,ca,Pitets de silicona,Pitet de silicona que protegeix millor la roba durant els àpats o les activitats creatives.
bibs_silicon,en,Silicone bibs,Silicone bib that protects clothes better during meals or creative activities.
bibs_silicon,es,Baberos de silicona,Babero de silicona que protege mejor la ropa durante las comidas o las actividades creativas.
diaper_contribution,nl,Bijdrage voor luiers,Vrije bijdrage voor luiers.
diaper_contribution,ca,Contribució per a bolquers,Contribució lliure per a bolquers.
diaper_contribution,en,Diaper contribution,Open contribution for diapers.
diaper_contribution,es,Contribución para pañales,Contribución libre para pañales.
stokkesys_1,nl,Babyhouder kinderstoel,Babyhouder zodat kleine Cleo mee aan de eettafel kan zitten.
stokkesys_1,ca,Set nadó per a la trona,Suport per a nadó perquè la petita Cleo pugui seure amb nosaltres a la taula.
stokkesys_1,en,High chair baby set,Baby seat attachment so little Cleo can join us at the dining table.
stokkesys_1,es,Set bebé para trona,Soporte para bebé para que la pequeña Cleo pueda sentarse con nosotros en la mesa.
stokkesys_2,nl,Eettafel kinderstoel,"Tafelblad voor de meegroeistoel zodat Cleo, van zodra ze vast voedsel kan kauwen, haar bordje vakkundig kan lanceren."
stokkesys_2,ca,Safata per a la trona,"Safata per a la cadira evolutiva perquè la Cleo, quan ja pugui mastegar menjar sòlid, pugui llançar el seu platet amb tota la traça."
stokkesys_2,en,High chair tray,"Tray for the grow-with-child chair so Cleo, once she can chew solid food, can expertly launch her plate."
stokkesys_2,es,Bandeja para trona,"Bandeja para la silla evolutiva para que Cleo, cuando ya pueda masticar comida sólida, pueda lanzar su platito con maestría."
stokkesys_3,nl,Kussen kinderstoel,Wasbaar kussen voor de meegroeistoel.
stokkesys_3,ca,Coixí per a la trona,Coixí rentable per a la cadira evolutiva.
stokkesys_3,en,High chair cushion,Washable cushion for the grow-with-child chair.
stokkesys_3,es,Cojín para trona,Cojín lavable para la silla evolutiva.
stokkesys_4,nl,Vloerbescherming kinderstoel,"Na lancering van haar bordje, kan de rommel gemakkelijk opgeruimd worden. Tenzij de honden sneller zijn."
stokkesys_4,ca,Protector de terra per a la trona,"Després de llançar el seu plat, el desgavell es podrà recollir fàcilment. A menys que els gossos siguin més ràpids."
stokkesys_4,en,High chair floor protector,"After she launches her plate, the mess can be cleaned up easily. Unless the dogs are faster."
stokkesys_4,es,Protector de suelo para trona,"Después de lanzar su plato, el desastre podrá recogerse fácilmente. A menos que los perros sean más rápidos."
tetra_cloth,nl,Tetra doek,"Zachte tetra doek voor inbakeren, afdrogen, afdekken of extra comfort onderweg."
tetra_cloth,ca,Drap tetra,"Drap tetra suau per embolcallar, eixugar, cobrir o donar comoditat extra fora de casa."
tetra_cloth,en,Tetra cloth,"Soft tetra cloth for swaddling, drying, covering or extra comfort on the go."
tetra_cloth,es,Paño tetra,"Paño tetra suave para envolver, secar, cubrir o dar comodidad extra fuera de casa."
blanket_bamboo,nl,Bamboedeken 100 x 75 cm,"Zachte bamboedeken voor warmte, comfort en gebruik thuis of onderweg."
blanket_bamboo,ca,Manta de bambú 100 x 75 cm,"Manta de bambú suau per aportar escalfor, comoditat i ús a casa o fora."
blanket_bamboo,en,Bamboo blanket 100 x 75 cm,"Soft bamboo blanket for warmth, comfort and use at home or on the go."
blanket_bamboo,es,Manta de bambú 100 x 75 cm,"Manta de bambú suave para aportar calor, comodidad y uso en casa o fuera."
pots_glass_6pack,nl,Set van 6 glazen bewaarpotjes van 250 ml,Bewaardoosjes of potjes om babymaaltijden vooraf te portioneren en te stockeren.
pots_glass_6pack,ca,Set de 6 pots de vidre de 250 ml,Recipients o pots per porcionar i guardar els àpats del nadó amb antelació.
pots_glass_6pack,en,Set of 6 glass storage jars of 250 ml,Storage containers or jars to portion and store baby meals in advance.
pots_glass_6pack,es,Set de 6 tarros de vidrio de 250 ml,Recipientes o tarros para porcionar y guardar las comidas del bebé con antelación.
toothbrush_silicon,nl,Siliconen trainings-tandenborstel,Siliconen trainings-tandenborstel met zuigvoet.
toothbrush_silicon,ca,Raspall de dents d’entrenament de silicona,Raspall de dents d’entrenament de silicona amb base de succió.
toothbrush_silicon,en,Silicone training toothbrush,Silicone training toothbrush with suction base.
toothbrush_silicon,es,Cepillo de dientes de entrenamiento de silicona,Cepillo de dientes de entrenamiento de silicona con base de succión.
tootbrush,nl,Tandenborstel,Tandenborstel voor de eerste poetsmomenten.
tootbrush,ca,Raspall de dents,Raspall de dents per als primers moments de raspallat.
tootbrush,en,Toothbrush,Toothbrush for the first brushing moments.
tootbrush,es,Cepillo de dientes,Cepillo de dientes para los primeros momentos de cepillado.
bag_isotherm,nl,Geïsoleerde tas voor voedsel,Geïsoleerde tas om eten of drinkaccessoires beter op temperatuur te houden.
bag_isotherm,ca,Bossa isotèrmica per a menjar,Bossa isotèrmica per mantenir millor la temperatura del menjar o dels accessoris de beguda.
bag_isotherm,en,Insulated food bag,Insulated bag to keep food or drink accessories at temperature for longer.
bag_isotherm,es,Bolsa isotérmica para comida,Bolsa isotérmica para mantener mejor la temperatura de la comida o de los accesorios de bebida.
dinnerset_inox,nl,Maaltijdset uit inox,Maaltijdset inox voor babymaaltijden thuis of onderweg.
dinnerset_inox,ca,Set d’àpat d’acer inoxidable,Set d’àpat d’acer inoxidable per als àpats del nadó a casa o fora.
dinnerset_inox,en,Stainless steel meal set,Stainless steel meal set for baby meals at home or on the go.
dinnerset_inox,es,Set de comida de acero inoxidable,Set de comida de acero inoxidable para las comidas del bebé en casa o fuera.
wood_rocker,nl,Houten klimboog,"Voor kleine apen met grote plannen! Met de houten klimboog kan Cleo lekker klimmen, klauteren, hangen of zelfs chillen. Dit simpele boogje is een verrassend veelzijdig speelmaatje,"
wood_rocker,ca,Arc d’escalada de fusta,"Per a petites mones amb grans plans! Amb l’arc d’escalada de fusta, la Cleo podrà enfilar-se, grimpar, penjar-se o fins i tot relaxar-se. Aquest senzill arc és un company de joc sorprenentment versàtil."
wood_rocker,en,Wooden climbing arch,"For little monkeys with big plans! With the wooden climbing arch, Cleo can climb, scramble, hang or even chill. This simple arch is a surprisingly versatile play companion."
wood_rocker,es,Arco de escalada de madera,"¡Para pequeños monitos con grandes planes! Con el arco de escalada de madera, Cleo podrá trepar, escalar, colgarse o incluso relajarse. Este sencillo arco es un compañero de juego sorprendentemente versátil."
